cliente 30;FLN;POA;3 dias;3 estrelas;R$ 1746
cliente 78;REC;BEL;5 dias;3 estrelas;R$ 4478
cliente 62;FLN;FOR;2 dias;1 estrelas;R$ 3187
cliente 35;POA;BEL;3 dias;1 estrelas;R$ 5018
cliente 51;SAO;CNF;1 dias;2 estrelas;R$ 3079
cliente 44;FLN;POA;2 dias;3 estrelas;R$ 1815
cliente 59;FOR;SSA;2 dias;3 estrelas;R$ 1151
cliente 29;SSA;RIO;4 dias;2 estrelas;R$ 3441
cliente 44;BEL;FLN;3 dias;5 estrelas;R$ 3167
cliente 3;CNF;PMW;2 dias;5 estrelas;R$ 5330
cliente 59;SAO;SSA;1 dias;1 estrelas;R$ 2671
cliente 57;CNF;SAO;4 dias;4 estrelas;R$ 3550
cliente 37;RIO;CNF;2 dias;3 estrelas;R$ 2595
cliente 45;SSA;FOR;3 dias;2 estrelas;R$ 1803
cliente 1;REC;PMW;3 dias;4 estrelas;R$ 3821
cliente 72;PMW;SAO;1 dias;1 estrelas;R$ 3912
cliente 44;FLN;CNF;3 dias;3 estrelas;R$ 4316
cliente 0;CNF;POA;4 dias;5 estrelas;R$ 5234
cliente 34;PMW;FLN;1 dias;1 estrelas;R$ 4118
cliente 68;PMW;BEL;5 dias;2 estrelas;R$ 4756
cliente 2;CNF;BEL;5 dias;1 estrelas;R$ 3476
cliente 84;RIO;CNF;2 dias;2 estrelas;R$ 1083
cliente 64;SSA;FLN;1 dias;3 estrelas;R$ 3834
cliente 6;SSA;CNF;3 dias;1 estrelas;R$ 5588
cliente 48;SSA;CNF;2 dias;3 estrelas;R$ 3999
cliente 0;FOR;BEL;2 dias;1 estrelas;R$ 2643
cliente 82;POA;REC;2 dias;2 estrelas;R$ 5759
cliente 91;REC;PMW;5 dias;4 estrelas;R$ 2013
cliente 28;SSA;FOR;5 dias;3 estrelas;R$ 3058
cliente 97;PMW;RIO;3 dias;5 estrelas;R$ 3322
cliente 28;SAO;PMW;2 dias;2 estrelas;R$ 3477
cliente 19;SAO;FOR;4 dias;2 estrelas;R$ 2710
cliente 81;SAO;CNF;1 dias;1 estrelas;R$ 4068
cliente 70;CNF;POA;5 dias;1 estrelas;R$ 4299
cliente 92;FLN;BEL;1 dias;2 estrelas;R$ 4685
cliente 82;FOR;RIO;2 dias;1 estrelas;R$ 1186
cliente 17;FOR;REC;5 dias;2 estrelas;R$ 1989
cliente 4;FLN;BEL;5 dias;3 estrelas;R$ 3815
cliente 2;FLN;BEL;4 dias;3 estrelas;R$ 1991
cliente 69;RIO;FLN;1 dias;5 estrelas;R$ 2316
cliente 55;FLN;RIO;3 dias;1 estrelas;R$ 4875
cliente 28;PMW;CNF;1 dias;2 estrelas;R$ 4758
cliente 95;REC;CNF;4 dias;4 estrelas;R$ 5834
cliente 86;CNF;PMW;2 dias;2 estrelas;R$ 5336
cliente 60;BEL;FLN;3 dias;4 estrelas;R$ 4187
cliente 39;SAO;PMW;5 dias;1 estrelas;R$ 1287
cliente 62;FLN;SAO;5 dias;1 estrelas;R$ 4157
cliente 37;BEL;POA;1 dias;3 estrelas;R$ 2498
cliente 24;FOR;POA;1 dias;3 estrelas;R$ 3657
cliente 47;FLN;CNF;4 dias;4 estrelas;R$ 5421
cliente 70;PMW;REC;5 dias;4 estrelas;R$ 4652
cliente 17;PMW;CNF;5 dias;4 estrelas;R$ 3074
cliente 44;FLN;CNF;3 dias;3 estrelas;R$ 2430
cliente 66;REC;FOR;1 dias;2 estrelas;R$ 5972
cliente 17;POA;PMW;5 dias;3 estrelas;R$ 5994
cliente 88;FOR;BEL;3 dias;1 estrelas;R$ 2792
cliente 41;SSA;SAO;3 dias;4 estrelas;R$ 4842
cliente 1;REC;FOR;5 dias;2 estrelas;R$ 2009
cliente 72;REC;POA;5 dias;1 estrelas;R$ 3478
cliente 17;FLN;FOR;4 dias;3 estrelas;R$ 2175
cliente 14;RIO;FOR;1 dias;3 estrelas;R$ 2042
