cliente 17;CNF;REC;3 dias;1 estrelas;R$ 1806
cliente 38;CNF;SSA;4 dias;2 estrelas;R$ 3570
cliente 37;SSA;POA;4 dias;2 estrelas;R$ 5140
cliente 18;FOR;FLN;1 dias;1 estrelas;R$ 2475
cliente 23;SSA;FOR;3 dias;4 estrelas;R$ 5312
cliente 67;RIO;POA;2 dias;5 estrelas;R$ 5928
cliente 48;SSA;SAO;5 dias;1 estrelas;R$ 3044
cliente 11;FOR;FLN;3 dias;5 estrelas;R$ 1551
cliente 78;SSA;RIO;1 dias;3 estrelas;R$ 5380
cliente 83;POA;FLN;2 dias;4 estrelas;R$ 4361
cliente 95;FLN;RIO;5 dias;2 estrelas;R$ 5871
cliente 64;FOR;BEL;2 dias;2 estrelas;R$ 5736
cliente 54;REC;SSA;2 dias;5 estrelas;R$ 2160
cliente 62;RIO;BEL;4 dias;4 estrelas;R$ 1172
cliente 32;RIO;SSA;4 dias;3 estrelas;R$ 4557
cliente 58;SSA;CNF;5 dias;1 estrelas;R$ 3307
cliente 96;RIO;FLN;1 dias;1 estrelas;R$ 4049
cliente 15;SAO;FLN;5 dias;3 estrelas;R$ 5060
cliente 33;FLN;POA;3 dias;4 estrelas;R$ 1591
cliente 94;FOR;SAO;2 dias;5 estrelas;R$ 3960
cliente 36;SAO;CNF;4 dias;3 estrelas;R$ 5251
cliente 75;CNF;PMW;2 dias;1 estrelas;R$ 1426
cliente 87;SAO;BEL;4 dias;5 estrelas;R$ 2861
cliente 37;PMW;POA;1 dias;1 estrelas;R$ 4974
cliente 67;REC;FLN;2 dias;1 estrelas;R$ 4278
cliente 18;FLN;RIO;3 dias;3 estrelas;R$ 5736
cliente 43;CNF;FLN;5 dias;4 estrelas;R$ 3481
cliente 77;CNF;POA;3 dias;3 estrelas;R$ 5194
cliente 18;PMW;SSA;2 dias;3 estrelas;R$ 3471
cliente 3;PMW;CNF;5 dias;4 estrelas;R$ 1601
cliente 23;FOR;BEL;3 dias;3 estrelas;R$ 4439
cliente 74;CNF;FOR;5 dias;2 estrelas;R$ 4907
cliente 47;RIO;SAO;1 dias;2 estrelas;R$ 1006
cliente 75;PMW;CNF;1 dias;5 estrelas;R$ 4990
cliente 70;FOR;SAO;2 dias;5 estrelas;R$ 3300
cliente 24;FOR;SSA;1 dias;1 estrelas;R$ 3298
cliente 58;FLN;CNF;4 dias;1 estrelas;R$ 4935
cliente 67;SAO;PMW;3 dias;5 estrelas;R$ 1194
cliente 34;FOR;POA;3 dias;5 estrelas;R$ 5933
cliente 99;SSA;FOR;5 dias;2 estrelas;R$ 4931
cliente 5;POA;SAO;3 dias;4 estrelas;R$ 5146
cliente 45;PMW;REC;2 dias;1 estrelas;R$ 3131
cliente 27;POA;BEL;4 dias;5 estrelas;R$ 2590
cliente 1;SAO;BEL;2 dias;4 estrelas;R$ 4628
cliente 62;POA;SSA;5 dias;5 estrelas;R$ 3959
cliente 19;FOR;RIO;5 dias;2 estrelas;R$ 2057
cliente 58;PMW;REC;4 dias;3 estrelas;R$ 3756
cliente 25;FOR;PMW;4 dias;5 estrelas;R$ 1171
cliente 94;BEL;SSA;1 dias;3 estrelas;R$ 3609
cliente 52;FOR;SAO;1 dias;4 estrelas;R$ 5234
cliente 16;FLN;SAO;1 dias;4 estrelas;R$ 2200
cliente 79;RIO;BEL;2 dias;5 estrelas;R$ 3151
cliente 93;SAO;RIO;5 dias;3 estrelas;R$ 3655
cliente 3;CNF;RIO;5 dias;3 estrelas;R$ 1963
cliente 92;BEL;REC;5 dias;3 estrelas;R$ 2492
cliente 53;REC;SSA;3 dias;3 estrelas;R$ 5239
cliente 36;SAO;REC;4 dias;5 estrelas;R$ 2474
cliente 13;FLN;POA;1 dias;3 estrelas;R$ 3640
cliente 49;POA;PMW;3 dias;3 estrelas;R$ 2167
cliente 4;CNF;REC;4 dias;1 estrelas;R$ 4410
cliente 93;SSA;PMW;5 dias;2 estrelas;R$ 2070
cliente 7;SAO;FLN;1 dias;3 estrelas;R$ 1540
cliente 17;FLN;REC;1 dias;4 estrelas;R$ 5809
cliente 66;PMW;POA;3 dias;4 estrelas;R$ 4666
cliente 12;RIO;BEL;5 dias;1 estrelas;R$ 3477
cliente 35;PMW;RIO;2 dias;3 estrelas;R$ 5682
cliente 26;FOR;PMW;4 dias;1 estrelas;R$ 1131
cliente 86;FLN;PMW;3 dias;3 estrelas;R$ 1252
cliente 73;REC;SAO;4 dias;3 estrelas;R$ 3197
cliente 60;CNF;RIO;4 dias;3 estrelas;R$ 1737
cliente 18;BEL;CNF;3 dias;3 estrelas;R$ 5364
cliente 9;RIO;SSA;4 dias;2 estrelas;R$ 3855
cliente 90;PMW;FLN;5 dias;5 estrelas;R$ 5931
cliente 39;RIO;REC;1 dias;5 estrelas;R$ 5235
cliente 99;PMW;SAO;2 dias;1 estrelas;R$ 5819
cliente 49;SAO;SSA;4 dias;4 estrelas;R$ 2392
cliente 76;FOR;POA;3 dias;2 estrelas;R$ 2435
cliente 65;BEL;PMW;5 dias;1 estrelas;R$ 4434
cliente 42;FOR;CNF;1 dias;1 estrelas;R$ 3696
cliente 87;CNF;BEL;1 dias;2 estrelas;R$ 3321
cliente 92;SAO;FOR;1 dias;2 estrelas;R$ 4343
cliente 15;REC;POA;5 dias;5 estrelas;R$ 5098
cliente 62;POA;RIO;4 dias;4 estrelas;R$ 5427
cliente 33;FOR;PMW;5 dias;3 estrelas;R$ 4939
cliente 91;BEL;FLN;1 dias;1 estrelas;R$ 2950
cliente 63;REC;RIO;5 dias;5 estrelas;R$ 4824
cliente 64;CNF;POA;1 dias;4 estrelas;R$ 4932
cliente 25;SAO;POA;5 dias;5 estrelas;R$ 2336
cliente 31;SAO;FOR;1 dias;1 estrelas;R$ 2155
cliente 46;PMW;BEL;5 dias;2 estrelas;R$ 3376
cliente 66;FLN;RIO;2 dias;3 estrelas;R$ 2832
cliente 47;RIO;POA;4 dias;5 estrelas;R$ 1464
cliente 48;POA;SAO;4 dias;5 estrelas;R$ 5301
cliente 53;RIO;SSA;5 dias;5 estrelas;R$ 2311
cliente 21;RIO;SSA;2 dias;5 estrelas;R$ 5554
cliente 48;SSA;POA;4 dias;5 estrelas;R$ 5984
cliente 65;BEL;CNF;4 dias;2 estrelas;R$ 1458
cliente 42;FOR;SAO;5 dias;1 estrelas;R$ 3324
cliente 53;FLN;POA;2 dias;4 estrelas;R$ 2530
cliente 66;CNF;PMW;1 dias;5 estrelas;R$ 3567
cliente 9;FOR;SAO;5 dias;1 estrelas;R$ 1591
cliente 69;PMW;POA;1 dias;4 estrelas;R$ 3709
cliente 21;SSA;REC;5 dias;3 estrelas;R$ 2330
cliente 7;SAO;SSA;1 dias;1 estrelas;R$ 3178
cliente 0;POA;BEL;2 dias;2 estrelas;R$ 4042
cliente 30;SAO;REC;1 dias;5 estrelas;R$ 5579
cliente 45;FOR;CNF;5 dias;4 estrelas;R$ 5045
cliente 36;FOR;SSA;4 dias;5 estrelas;R$ 3903
cliente 0;SSA;BEL;2 dias;4 estrelas;R$ 3855
cliente 0;RIO;REC;3 dias;4 estrelas;R$ 2260
cliente 59;FOR;BEL;5 dias;2 estrelas;R$ 1370
cliente 69;POA;FOR;3 dias;1 estrelas;R$ 3837
cliente 85;FLN;CNF;2 dias;1 estrelas;R$ 4454
cliente 82;RIO;BEL;3 dias;3 estrelas;R$ 3769
cliente 23;RIO;SSA;3 dias;4 estrelas;R$ 1329
cliente 36;RIO;SAO;2 dias;5 estrelas;R$ 2841
cliente 71;PMW;CNF;4 dias;1 estrelas;R$ 4834
cliente 46;SAO;CNF;4 dias;2 estrelas;R$ 4329
cliente 27;BEL;POA;1 dias;4 estrelas;R$ 4057
cliente 83;SSA;CNF;1 dias;3 estrelas;R$ 1296
cliente 51;FLN;CNF;3 dias;5 estrelas;R$ 3997
cliente 25;SSA;FLN;2 dias;4 estrelas;R$ 5613
cliente 32;RIO;PMW;1 dias;5 estrelas;R$ 1697
cliente 88;FOR;SSA;1 dias;2 estrelas;R$ 3242
cliente 82;SAO;CNF;2 dias;4 estrelas;R$ 5125
cliente 13;SSA;FLN;1 dias;2 estrelas;R$ 5740
cliente 45;RIO;FOR;3 dias;3 estrelas;R$ 4569
cliente 76;FLN;RIO;4 dias;1 estrelas;R$ 5872
cliente 99;REC;FLN;1 dias;4 estrelas;R$ 2732
cliente 89;RIO;FLN;4 dias;3 estrelas;R$ 2481
cliente 49;RIO;FLN;3 dias;5 estrelas;R$ 5948
cliente 1;PMW;SSA;1 dias;4 estrelas;R$ 3085
cliente 91;PMW;RIO;4 dias;5 estrelas;R$ 4851
cliente 51;FOR;FLN;4 dias;4 estrelas;R$ 2921
cliente 48;CNF;BEL;2 dias;3 estrelas;R$ 2364
cliente 5;RIO;SAO;5 dias;2 estrelas;R$ 2067
cliente 54;FOR;BEL;3 dias;3 estrelas;R$ 4219
cliente 16;SAO;PMW;5 dias;1 estrelas;R$ 2791
cliente 77;SAO;PMW;5 dias;2 estrelas;R$ 5837
cliente 19;REC;CNF;5 dias;2 estrelas;R$ 2689
cliente 43;FOR;BEL;2 dias;1 estrelas;R$ 4633
cliente 28;CNF;BEL;1 dias;4 estrelas;R$ 4334
cliente 37;CNF;SAO;3 dias;5 estrelas;R$ 2360
cliente 93;BEL;SAO;4 dias;1 estrelas;R$ 2892
cliente 21;CNF;FLN;4 dias;3 estrelas;R$ 1465
cliente 41;REC;PMW;3 dias;2 estrelas;R$ 2460
cliente 1;POA;FLN;3 dias;4 estrelas;R$ 4647
cliente 95;CNF;SAO;2 dias;5 estrelas;R$ 5400
